Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
132,Uğurcan Çakır\f63a8347,tr TUR,GK,Trabzonspor,25,1996,36,36,3227,35.9,0,0,0,0,0,6,1,0.00,0.00,0.00,0.00,0.00,Matches
133,Samba Camara\7c85e03f,ml MLI,DF,Sivasspor,28,1992,19,14,1234,13.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
134,Tarık Çamdal\d23ff209,tr TUR,DF,Adana Demirspor,30,1991,12,2,228,2.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
135,Burak Çamoğlu\4a28e56a,tr TUR,DF,Hatayspor,24,1996,3,1,45,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
136,Gustavo Campanharo\96f2d977,br BRA,MF,Kayserispor,29,1992,22,14,1313,14.6,0,0,0,0,0,7,0,0.00,0.00,0.00,0.00,0.00,Matches
137,Gastón Campi\74223a01,ar ARG,DF,Yeni Mal'spor,30,1991,14,14,1152,12.8,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,Matches
138,Erol Can Akdağ\9e189d84,tr TUR,MF,Giresunspor,24,1996,5,0,45,0.5,0,1,0,0,0,1,0,0.00,2.00,2.00,0.00,2.00,Matches
139,İrfan Can Eğribayat\b3c67ed0,tr TUR,GK,Göztepe,23,1998,30,30,2700,30.0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
140,Efe Can Saçıkara\b99aa98d,tr TUR,MF,Göztepe,17,2004,4,1,126,1.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
141,Daniel Candeias\0366fc78,pt POR,MFFW,Alanyaspor,33,1988,35,18,1540,17.1,4,4,4,0,0,1,0,0.23,0.23,0.47,0.23,0.47,Matches
142,Metin Caner Akbayrak\5b356a21,tr TUR,MF,Giresunspor,17,2004,1,1,53,0.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
143,Atakan Çankaya\bd0a2116,tr TUR,DFMF,Göztepe,23,1998,24,17,1571,17.5,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,Matches
144,Erdem Canpolat\1ec7078a,de GER,GK,Kasımpaşa,20,2001,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
145,Mahsun Çapkan\61707054,tr TUR,MF,Rizespor,21,1999,1,0,9,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
146,Miguel Filipe Nunes Cardoso\f9c7bf18,pt POR,MFDF,Kayserispor,27,1994,28,15,1267,14.1,4,2,4,0,0,1,0,0.28,0.14,0.43,0.28,0.43,Matches
147,José Carlos Marafona\8ac7161e,pt POR,GK,Alanyaspor,34,1987,16,16,1440,16.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
148,Lionel Carole\5b5724d2,fr FRA,DF,Kayserispor,30,1991,30,30,2555,28.4,0,2,0,0,0,5,0,0.00,0.07,0.07,0.00,0.07,Matches
149,Lucas Castro\56b2957b,ar ARG,MF,Adana Demirspor,32,1989,11,4,394,4.4,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
150,Steven Caulker\2592d9b5,sl SLE,DF,Gaziantep FK,29,1991,25,25,2160,24.0,2,0,2,0,0,3,0,0.08,0.00,0.08,0.08,0.08,Matches
151,Atalay Çayırlı\ca21be52,de GER,DF,Göztepe,15,2005,1,0,1,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
152,Endri Çekiçi\37cf6227,al ALB,MFFW,Konyaspor,24,1996,35,23,1890,21.0,6,3,6,0,0,3,0,0.29,0.14,0.43,0.29,0.43,Matches
153,Erhan Çelenk\c6ed4902,tr TUR,MF,Altay,32,1989,10,3,358,4.0,1,0,1,0,0,0,0,0.25,0.00,0.25,0.25,0.25,Matches
154,İzzet Çelik\a3255b25,tr TUR,MF,Adana Demirspor,17,2004,1,0,2,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
155,Murat Cem Akpınar\9254c532,tr TUR,MF,Trabzonspor,22,1999,2,1,48,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
156,Tarık Çetin\452f6d51,tr TUR,GK,Rizespor,24,1997,11,9,854,9.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
157,Bülent Cevahir\d79aadc7,tr TUR,DF,Hatayspor,29,1992,5,1,114,1.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
158,Oğuz Ceylan\2edd287e,tr TUR,DFMF,Gaziantep FK,30,1990,20,11,935,10.4,0,1,0,0,0,1,0,0.00,0.10,0.10,0.00,0.10,Matches
159,Nacer Chadli\5b54bf3b,be BEL,MFFW,Başakşehir,31,1989,28,14,1307,14.5,1,3,1,0,0,2,0,0.07,0.21,0.28,0.07,0.28,Matches
160,Joe Champness\6007a362,nz NZL,FWMF,Giresunspor,24,1997,11,0,134,1.5,2,0,2,0,0,0,0,1.34,0.00,1.34,1.34,1.34,Matches
161,Chiquinho\262e5a82,pt POR,MF,Giresunspor,26,1995,13,13,1147,12.7,4,3,2,2,2,3,0,0.31,0.24,0.55,0.16,0.39,Matches
162,Mounir Chouiar\45c1c326,fr FRA,MF,Yeni Mal'spor,22,1999,25,24,2046,22.7,3,4,3,0,0,2,0,0.13,0.18,0.31,0.13,0.31,Matches
163,Alexandru Cicâldău\cdafb19d,ro ROU,MF,Galatasaray,24,1997,32,25,2197,24.4,4,3,2,2,2,7,0,0.16,0.12,0.29,0.08,0.20,Matches
164,Atabey Çiçek\8ade7755,tr TUR,FW,Başakşehir,26,1995,11,0,98,1.1,0,1,0,0,0,0,0,0.00,0.92,0.92,0.00,0.92,Matches
165,Uğur Çiftçi\e111bf12,tr TUR,DF,Sivasspor,29,1992,34,29,2647,29.4,0,3,0,0,0,6,2,0.00,0.10,0.10,0.00,0.10,Matches
166,Sadık Çiftpınar\eac8cdb6,tr TUR,DF,Yeni Mal'spor,28,1993,23,22,1927,21.4,0,0,0,0,0,8,0,0.00,0.00,0.00,0.00,0.00,Matches
167,Tolga Ciğerci\6e17c802,tr TUR,MF,Başakşehir,29,1992,32,28,2459,27.3,1,1,1,0,0,7,0,0.04,0.04,0.07,0.04,0.07,Matches
168,Mirza Cihan\6a0f971b,tr TUR,FWMF,Gaziantep FK,20,2000,10,3,262,2.9,0,1,0,0,0,0,0,0.00,0.34,0.34,0.00,0.34,Matches
169,Sokol Cikalleshi\29306e58,al ALB,FW,Konyaspor,31,1990,34,23,2171,24.1,10,2,9,1,1,4,0,0.41,0.08,0.50,0.37,0.46,Matches
170,Anıl Çınar\52c75956,tr TUR,DF,Giresunspor,18,2003,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
171,İsmail Çipe\6dab92d4,tr TUR,GK,Galatasaray,26,1995,7,6,548,6.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
172,Papiss Cissé\40f3ff51,sn SEN,FW,Rizespor,36,1985,14,8,644,7.2,2,2,2,0,0,1,0,0.28,0.28,0.56,0.28,0.56,Matches
173,Ramazan Civelek\c2c2eb25,tr TUR,DFMF,Kayserispor,25,1996,24,12,1039,11.5,0,2,0,0,0,2,0,0.00,0.17,0.17,0.00,0.17,Matches
174,Isaac Cofie\c6dda86e,gh GHA,MF,Sivasspor,29,1991,28,20,1852,20.6,1,0,1,0,0,5,0,0.05,0.00,0.05,0.05,0.05,Matches
175,İsmail Çokçalış\6a143565,tr TUR,DF,Adana Demirspor,21,2000,3,2,198,2.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
176,Halit Çokyaşar\3e317471,tr TUR,FW,Sivasspor,19,2002,1,0,2,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
177,Emre Çolak\643b39a6,tr TUR,MF,Hatayspor,30,1991,8,4,247,2.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
178,Emre Çolak\643b39a6,tr TUR,MF,Başakşehir,30,1991,7,0,109,1.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
179,Kamil Çörekçi\771d74d1,tr TUR,DF,Hatayspor,29,1992,30,28,2520,28.0,0,3,0,0,0,4,0,0.00,0.11,0.11,0.00,0.11,Matches
180,Andreas Cornelius\c693347d,dk DEN,FW,Trabzonspor,28,1993,37,28,2420,26.9,15,3,15,0,0,1,0,0.56,0.11,0.67,0.56,0.67,Matches
181,Göktan Cörüt\dc047262,tr TUR,GK,Giresunspor,21,2000,1,0,38,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
182,Crespo\922dfade,pt POR,MF,Fenerbahçe,24,1996,23,19,1670,18.6,1,1,1,0,0,5,0,0.05,0.05,0.11,0.05,0.11,Matches
183,Enzo Crivelli\06f33dc8,fr FRA,FW,Antalyaspor,26,1995,12,5,449,5.0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
184,Bryan Dabo\c53083ad,bf BFA,MFFW,Rizespor,29,1992,19,9,864,9.6,0,1,0,0,0,3,0,0.00,0.10,0.10,0.00,0.10,Matches
185,Erdon Daci\dc07ee94,mk MKD,FW,Konyaspor,23,1998,1,0,12,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
186,Abdulsamed Damlu\03447e03,tr TUR,GK,Yeni Mal'spor,22,1999,9,8,710,7.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
187,Sergio Antonio De Luiz Junior\c3d8dcb2,br BRA,MF,Giresunspor,26,1995,35,33,2737,30.4,4,3,4,0,0,5,0,0.13,0.10,0.23,0.13,0.23,Matches
188,Simon Deli\6b6cbca4,ci CIV,DF,Adana Demirspor,29,1991,19,16,1398,15.5,0,1,0,0,0,2,0,0.00,0.06,0.06,0.00,0.06,Matches
189,Emre Demir\38d5b9d8,tr TUR,MF,Kayserispor,17,2004,4,0,28,0.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
190,Muhammet Demir\37835bfb,tr TUR,FW,Gaziantep FK,29,1992,29,27,2444,27.2,6,0,5,1,2,2,0,0.22,0.00,0.22,0.18,0.18,Matches
191,Muhammet Demir\37835bfb,tr TUR,FW,Başakşehir,29,1992,3,0,83,0.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
192,Adil Demirbağ\e43a256f,tr TUR,DF,Konyaspor,23,1997,30,19,1620,18.0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches
193,Uğur Demirok\6fbc5cd2,tr TUR,DF,Kayserispor,33,1988,18,15,1453,16.1,2,0,2,0,1,4,0,0.12,0.00,0.12,0.12,0.12,Matches
194,Kahraman Demirtapa\b659f6f3,tr TUR,DF,Göztepe,27,1994,23,18,1609,17.9,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
195,Stefano Denswil\5832ebfe,nl NED,DF,Trabzonspor,28,1993,28,21,1945,21.6,0,2,0,0,0,3,0,0.00,0.09,0.09,0.00,0.09,Matches
196,Halil Dervişoğlu\9d8cf204,tr TUR,FWMF,Galatasaray,21,1999,28,17,1411,15.7,4,1,4,0,0,2,0,0.26,0.06,0.32,0.26,0.32,Matches
197,Ersin Destanoğlu\52b3c895,tr TUR,GK,Beşiktaş,20,2001,32,31,2791,31.0,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,Matches
198,Franco Di Santo\549c6ba7,ar ARG,FW,Göztepe,32,1989,15,12,989,11.0,3,0,3,0,0,3,0,0.27,0.00,0.27,0.27,0.27,Matches
199,Fousseni Diabaté\d07e3b41,ml MLI,MF,Giresunspor,25,1995,34,30,2573,28.6,6,3,1,5,5,2,0,0.21,0.10,0.31,0.03,0.14,Matches
200,Mbaye Diagne\dda3969e,sn SEN,FW,Galatasaray,29,1991,14,7,667,7.4,2,1,2,0,1,1,0,0.27,0.13,0.40,0.27,0.40,Matches
201,Mamadou Diarra\3516b06b,sn SEN,DF,Giresunspor,23,1997,28,27,2497,27.7,1,0,1,0,0,4,0,0.04,0.00,0.04,0.04,0.04,Matches
202,Pa Dibba\d2006beb,gm GAM,FW,Adana Demirspor,33,1987,1,0,15,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
203,Nouha Dicko\c6caef02,ml MLI,FWMF,Yeni Mal'spor,29,1992,15,15,1310,14.6,4,0,2,2,2,1,0,0.27,0.00,0.27,0.14,0.14,Matches
204,Nouha Dicko\c6caef02,ml MLI,FWMF,Gaziantep FK,29,1992,18,8,786,8.7,1,0,1,0,0,2,0,0.11,0.00,0.11,0.11,0.11,Matches
205,Famara Diedhiou\e447352c,sn SEN,FW,Alanyaspor,28,1992,26,19,1594,17.7,11,0,9,2,3,7,1,0.62,0.00,0.62,0.51,0.51,Matches
206,Sahin Dik\bc2d64ef,tr TUR,DF,Giresunspor,17,2004,1,0,37,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
207,Soner Dikmen\9b00a9bd,tr TUR,MF,Konyaspor,27,1993,37,32,2520,28.0,3,4,3,0,0,5,0,0.11,0.14,0.25,0.11,0.25,Matches
208,Emir Dilaver\db3cb6ee,at AUT,DFMF,Rizespor,30,1991,2,0,25,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
209,Nabil Dirar\a2b0d521,ma MAR,MFDF,Kasımpaşa,35,1986,6,2,254,2.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
210,Djaniny\77ac1d89,cv CPV,FWMF,Trabzonspor,30,1991,30,19,1890,21.0,10,3,7,3,3,4,0,0.48,0.14,0.62,0.33,0.48,Matches
211,Papy Djilobodji\083525e5,sn SEN,DF,Gaziantep FK,32,1988,31,30,2621,29.1,5,1,5,0,0,7,1,0.17,0.03,0.21,0.17,0.21,Matches
212,Ryan Donk\d072a976,sr SUR,DF,Kasımpaşa,35,1986,28,24,2135,23.7,2,1,2,0,0,7,0,0.08,0.04,0.13,0.08,0.13,Matches
213,Godfred Donsah\384dd218,gh GHA,MF,Yeni Mal'spor,25,1996,12,9,750,8.3,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
214,Douglas\71687133,br BRA,DF,Giresunspor,31,1990,10,6,480,5.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
215,Souleymane Doukara\c48cd71d,mr MTN,FW,Giresunspor,29,1991,19,8,700,7.8,3,0,2,1,1,1,0,0.39,0.00,0.39,0.26,0.26,Matches
216,Léo Duarte\73ddc40c,br BRA,DF,Başakşehir,25,1996,33,31,2872,31.9,0,0,0,0,0,7,1,0.00,0.00,0.00,0.00,0.00,Matches
217,Jimmy Durmaz\f09a8b75,se SWE,MFFW,Fatih Karagümrük,32,1989,32,20,1819,20.2,1,2,1,0,0,8,1,0.05,0.10,0.15,0.05,0.15,Matches
218,Salih Dursun\3a7da45b,tr TUR,DF,Fatih Karagümrük,30,1991,14,11,1035,11.5,2,1,2,0,0,3,0,0.17,0.09,0.26,0.17,0.26,Matches
219,Serdar Dursun\a80d2da5,tr TUR,FW,Fenerbahçe,29,1991,33,20,1869,20.8,15,3,11,4,5,2,0,0.72,0.14,0.87,0.53,0.67,Matches
220,Houssam Eddine Ghacha\30173cdb,dz ALG,MFFW,Antalyaspor,25,1995,32,7,1142,12.7,1,2,1,0,0,2,0,0.08,0.16,0.24,0.08,0.24,Matches
221,Wilson Eduardo\b3b310f0,ao ANG,FWMF,Alanyaspor,31,1990,22,10,950,10.6,4,1,4,0,1,0,0,0.38,0.09,0.47,0.38,0.47,Matches
222,Burak Efe Yaz\7154f782,tr TUR,MF,Yeni Mal'spor,17,2003,2,0,60,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
223,Onur Efe\d002faa0,tr TUR,MF,Altay,19,2002,1,0,7,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
224,Muhammed Egemen Pehlivan\342db3ff,tr TUR,FW,Fatih Karagümrük,21,2000,1,0,1,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
225,Vegar Eggen Hedenstad\a0313275,no NOR,DF,Fatih Karagümrük,30,1991,14,14,1089,12.1,0,1,0,0,0,2,2,0.00,0.08,0.08,0.00,0.08,Matches
226,Omar Elabdellaoui\4f56170e,no NOR,DF,Galatasaray,29,1991,7,6,549,6.1,0,1,0,0,0,2,0,0.00,0.16,0.16,0.00,0.16,Matches
227,Muhammed Emin Sarıkaya\84f45f31,tr TUR,DF,Yeni Mal'spor,19,2002,4,2,103,1.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
228,Berkan Emir\f881d509,tr TUR,DFMF,Göztepe,33,1988,32,27,2345,26.1,1,5,0,1,1,9,0,0.04,0.19,0.23,0.00,0.19,Matches
229,Metin Emre Karaal\8a3898fc,tr TUR,MF,Başakşehir,18,2003,2,0,4,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
230,Ahmet Engin\b66051e5,de GER,MF,Kasımpaşa,24,1996,28,10,801,8.9,2,0,2,0,0,1,0,0.22,0.00,0.22,0.22,0.22,Matches
231,Alexandru Epureanu\58dda688,md MDA,DF,Başakşehir,34,1986,22,16,1463,16.3,1,0,1,0,0,3,0,0.06,0.00,0.06,0.06,0.06,Matches
232,Mehmet Eray Özbek\b2cf782c,tr TUR,MF,Kayserispor,18,2003,1,0,4,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
233,Çagan Erciyas\2ea0b378,tr TUR,DF,Alanyaspor,18,2003,3,1,50,0.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
234,Ziya Erdal\63458a96,tr TUR,DF,Sivasspor,33,1988,17,9,815,9.1,1,1,0,1,1,2,0,0.11,0.11,0.22,0.00,0.11,Matches
235,Alparslan Erdem\7e925fa3,tr TUR,DF,Fatih Karagümrük,32,1988,4,0,35,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
236,Mustafa Erdilman\b00f3a68,tr TUR,MF,Antalyaspor,17,2004,1,0,6,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
237,Doğan Erdoğan\571d3ac1,tr TUR,MF,Gaziantep FK,24,1996,31,25,2054,22.8,0,1,0,0,0,3,1,0.00,0.04,0.04,0.00,0.04,Matches
238,Eren Erdoğan\abc57fe0,tr TUR,MF,Altay,20,2001,14,4,406,4.5,0,1,0,0,0,0,0,0.00,0.22,0.22,0.00,0.22,Matches
239,Yusuf Erdoğan\1469d291,tr TUR,MF,Trabzonspor,28,1992,12,1,402,4.5,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
240,Yusuf Erdoğan\1469d291,tr TUR,MF,Kasımpaşa,28,1992,19,16,1360,15.1,2,2,2,0,0,3,0,0.13,0.13,0.26,0.13,0.26,Matches
241,Evren Eren Elmalı\8eeb8ba4,tr TUR,DF,Kasımpaşa,21,2000,32,27,2452,27.2,1,2,1,0,0,4,0,0.04,0.07,0.11,0.04,0.11,Matches
242,Muhammet Ergin\87e02655,tr TUR,FW,Sivasspor,20,2001,2,0,2,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
243,Onur Ergün\e887928a,tr TUR,MF,Hatayspor,28,1992,24,21,1876,20.8,1,0,1,0,0,8,0,0.05,0.00,0.05,0.05,0.05,Matches
244,Caner Erkin\15b6e8d7,tr TUR,DF,Fatih Karagümrük,32,1988,29,27,2334,25.9,1,4,1,0,0,4,1,0.04,0.15,0.19,0.04,0.19,Matches
245,Hayrullah Erkip\72ab4fa7,tr TUR,FW,Kayserispor,18,2003,3,0,112,1.2,1,0,1,0,0,0,0,0.80,0.00,0.80,0.80,0.80,Matches
246,Ertuğrul Ersoy\dd97ba77,tr TUR,DF,Gaziantep FK,24,1997,22,20,1788,19.9,0,1,0,0,0,4,0,0.00,0.05,0.05,0.00,0.05,Matches
247,Erten Ersu\19016cf4,tr TUR,GK,Konyaspor,27,1994,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
248,Osman Ertuğrul Çetin\40a5ecd5,tr TUR,GK,Fenerbahçe,18,2003,2,1,96,1.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
249,Mustafa Eskihellaç\a9dddaed,tr TUR,MF,Yeni Mal'spor,24,1997,31,30,2627,29.2,2,2,2,0,0,4,0,0.07,0.07,0.14,0.07,0.14,Matches
250,Jean Evrard Kouassi\db143520,ci CIV,MF,Trabzonspor,26,1994,11,2,187,2.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
251,Erkan Eyibil\7116c208,tr TUR,MF,Antalyaspor,20,2001,1,0,4,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
252,Valentin Eysseric\ae82fa48,fr FRA,MF,Kasımpaşa,29,1992,29,25,2103,23.4,5,7,5,0,0,9,2,0.21,0.30,0.51,0.21,0.51,Matches
253,Ahmet Eyüp Türkaslan\ecc65a15,tr TUR,GK,Yeni Mal'spor,26,1994,2,1,135,1.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
254,Francis Ezeh\40784535,ng NGA,MF,Adana Demirspor,23,1997,7,2,212,2.4,0,1,0,0,0,1,0,0.00,0.42,0.42,0.00,0.42,Matches
255,Fayçal Fajr\79135368,ma MAR,MF,Sivasspor,32,1988,29,27,2319,25.8,5,4,3,2,2,4,0,0.19,0.16,0.35,0.12,0.27,Matches
256,Radamel Falcao\66116290,co COL,FW,Galatasaray,35,1986,1,0,11,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
257,Simon Falette\b82880c6,gn GUI,DF,Hatayspor,29,1992,11,9,724,8.0,1,0,1,0,0,3,0,0.12,0.00,0.12,0.12,0.12,Matches
258,Mamadou Fall\1524bd4c,sn SEN,MF,Kasımpaşa,29,1991,17,11,1040,11.6,3,2,3,0,0,3,0,0.26,0.17,0.43,0.26,0.43,Matches
259,Eren Fansa\65e52c69,tr TUR,DF,Hatayspor,18,2003,1,0,1,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
260,Sofiane Feghouli\691f64f5,dz ALG,MFFW,Galatasaray,31,1989,21,12,991,11.0,2,4,2,0,0,1,0,0.18,0.36,0.54,0.18,0.54,Matches
261,Jorge Félix\4aea8111,es ESP,MFFW,Sivasspor,29,1991,12,6,627,7.0,3,0,3,0,0,1,0,0.43,0.00,0.43,0.43,0.43,Matches
262,Leroy Fer\3cefa66a,nl NED,MF,Alanyaspor,31,1990,20,6,627,7.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
263,Gedson Fernandes\e2dde94c,pt POR,MF,Rizespor,22,1999,11,10,889,9.9,3,3,3,0,0,4,0,0.30,0.30,0.61,0.30,0.61,Matches
